Euclidean,1,2,3,4,5,6,7,8,9,10
1,0.000000,2219.177277,9948.044078,528.699758,413.365061,827.718886,681.034990,917.127383,832.147434,729.056349
2,,0.000000,7767.945603,2734.049854,2628.490810,3044.477872,2898.712894,3133.460130,1812.454574,1491.357346
3,,,0.000000,10433.061351,10361.367486,10773.530838,10626.488597,10862.965776,9340.275232,9236.840022
4,,,,0.000000,221.372794,375.156188,249.379188,457.259653,1156.583376,1251.158346
5,,,,,0.000000,415.989985,270.748792,505.071067,1171.964206,1137.135266
6,,,,,,0.000000,147.046974,89.490917,1529.464012,1553.123807
7,,,,,,,0.000000,236.514622,1391.550421,1407.404400
8,,,,,,,,0.000000,1613.555789,1642.128687
9,,,,,,,,,0.000000,709.407786
10,,,,,,,,,,0.000000
