Manhattan,1,2,3,4,5,6,7,8,9,10
1,0.000000,2341.017219,11929.300152,651.187488,496.331521,947.743236,770.737383,1056.799501,1260.510561,737.713573
2,,0.000000,9597.441187,2778.945762,2830.144528,3280.359168,3104.285771,3388.982648,2380.460958,1605.270129
3,,,0.000000,12323.287569,12421.263080,12871.483429,12695.554202,12979.133180,10775.939186,11196.786982
4,,,,0.000000,335.951213,558.469258,382.463330,667.533230,1653.825887,1379.165173
5,,,,,0.000000,452.861331,276.326491,561.849249,1755.105533,1226.660355
6,,,,,,0.000000,177.593162,110.217624,2205.307383,1677.666864
7,,,,,,,0.000000,287.429708,2028.901616,1500.993410
8,,,,,,,,0.000000,2314.667455,1786.811316
9,,,,,,,,,0.000000,1006.367826
10,,,,,,,,,,0.000000
