Euclidean,1,2,3,4,5,6,7,8,9,10
1,0.000000,15760.122472,14110.834391,9045.320235,5567.684524,1924.624082,1100.859050,402.890550,2105.442576,3169.003773
2,,0.000000,11524.505650,6743.884100,10192.525007,14455.119372,14682.450993,15362.417961,13674.707531,12597.039560
3,,,0.000000,9545.879403,10883.382188,12233.959805,13208.002934,13786.484183,12508.957381,11938.376127
4,,,,0.000000,3494.222416,7718.222010,7957.775949,8644.807041,6947.820636,5876.330200
5,,,,,0.000000,4404.562591,4492.458214,5169.937291,3488.158519,2407.918794
6,,,,,,0.000000,1182.864189,1615.788236,1313.327493,2153.771472
7,,,,,,,0.000000,698.488136,1010.197665,2085.460676
8,,,,,,,,0.000000,1702.792658,2768.607719
9,,,,,,,,,0.000000,1080.534944
10,,,,,,,,,,0.000000
